Datum,Niederschlag_mm,Station,Zaehldaten,geometry,lon,lat,baseline_count,normalized_count
2024-01-07,0.05,Lütkenbecker Weg,732.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.23534877842989305
2024-01-07,0.05,Goldstraße,459.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.3231281248774024
2024-01-07,0.05,Bohlweg,1604.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.3687194982978148
2024-01-07,0.05,Kinderhauser Straße,374.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.3607618390271362
2024-01-07,0.05,Gasselstiege,1066.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.37982188717919974
2024-01-07,0.05,Schmeddingstraße,738.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.2842014056031578
2024-01-07,0.05,Weißenburgstraße,512.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.4047716160349663
2024-01-07,0.05,"Kanalpromenade, Abschnitt 6",252.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.36141111878544185
2024-01-07,0.05,Coesfelder Kreuz,820.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,0.14915680255439667
2024-01-07,0.05,Grevener Straße,635.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.4628531931382611
2024-01-08,0.0,Wolbecker Straße,9071.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,1.0054686292006727
2024-01-08,0.0,Promenade (nördlich Salzstraße),14751.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.9986780722126856
2024-01-08,0.0,Hafenstraße,6904.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,1.0134128613106148
2024-01-08,0.0,Gartenstraße,2966.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,1.0931533975851935
2024-01-08,0.0,Hammer Straße,14310.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,1.0032396043713865
2024-01-08,0.0,Hüfferstraße,7012.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,1.258878475346242
2024-01-08,0.0,Warendorfer Straße,6484.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,1.1056947226340874
2024-01-08,0.0,Neutor,13440.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,1.202815610290331
2024-01-08,0.0,"Kanalpromenade, Abschnitt 5",846.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.6818877173358775
2024-01-08,0.0,Promenade (in Höhe Hals),10436.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,1.091879478937392
2024-01-08,0.0,"Kanalpromenade, Abschnitt 1",814.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.6048099874756131
2024-01-08,0.0,Lütkenbecker Weg,2898.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.9317496719806422
2024-01-08,0.0,Goldstraße,1340.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.9433370094460114
2024-01-08,0.0,Bohlweg,4327.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.9946691204081326
2024-01-08,0.0,Kinderhauser Straße,1021.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.9848605284671285
2024-01-08,0.0,Gasselstiege,2910.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,1.0368496169713615
2024-01-08,0.0,Schmeddingstraße,2547.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.9808414364108983
2024-01-08,0.0,Weißenburgstraße,1453.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,1.1486975744117307
2024-01-08,0.0,"Kanalpromenade, Abschnitt 6",157.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.22516486368775543
2024-01-08,0.0,Coesfelder Kreuz,4390.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,0.7985345892851237
2024-01-08,0.0,Grevener Straße,1510.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,1.1006430262027942
2024-01-09,0.0,Wolbecker Straße,8783.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.9735454713118189
2024-01-09,0.0,Promenade (nördlich Salzstraße),14511.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.9824294967038357
2024-01-09,0.0,Hafenstraße,6862.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,1.0072478352134182
2024-01-09,0.0,Gartenstraße,2783.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,1.0257066437894786
2024-01-09,0.0,Hammer Straße,13334.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.9348145971130725
2024-01-09,0.0,Hüfferstraße,6585.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,1.1822183057836573
2024-01-09,0.0,Warendorfer Straße,6075.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,1.0359493275758915
2024-01-09,0.0,Neutor,12692.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,1.1358731938842916
2024-01-09,0.0,"Kanalpromenade, Abschnitt 5",820.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.6609313572286283
2024-01-09,0.0,Promenade (in Höhe Hals),10088.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,1.055469546140323
2024-01-09,0.0,"Kanalpromenade, Abschnitt 1",776.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.5765756145959161
2024-01-09,0.0,Lütkenbecker Weg,2545.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.8182549741858987
2024-01-09,0.0,Goldstraße,1289.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.9074338844596334
2024-01-09,0.0,Bohlweg,4265.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.9804168704739278
2024-01-09,0.0,Kinderhauser Straße,1056.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,1.0186216631354434
2024-01-09,0.0,Gasselstiege,2682.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.9556119150230898
2024-01-09,0.0,Schmeddingstraße,2551.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.9823818234331376
2024-01-09,0.0,Weißenburgstraße,1551.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,1.2261733915434234
2024-01-09,0.0,"Kanalpromenade, Abschnitt 6",158.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.2265990347940469
2024-01-09,0.0,Bismarckallee,5749.0,POINT (7.6179789 51.9562088),7.6179789,51.9562088,5447.650837988826,1.0553172681166965
2024-01-09,0.0,Coesfelder Kreuz,6730.0,POINT (7.5995429 51.9649268),7.5995429,51.9649268,5497.570247933884,1.2241771721842558
2024-01-09,0.0,Grevener Straße,1283.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.9351821209391953
2024-01-10,0.0,Wolbecker Straße,9032.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,1.0011457015698906
2024-01-10,0.0,Promenade (nördlich Salzstraße),14379.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.9734927801739682
2024-01-10,0.0,Hafenstraße,6968.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,1.0228071867920574
2024-01-10,0.0,Gartenstraße,3025.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,1.1148985258581288
2024-01-10,0.0,Hammer Straße,13952.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.9781410873647508
2024-01-10,0.0,Hüfferstraße,6534.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,1.1730621731192736
2024-01-10,0.0,Warendorfer Straße,6583.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,1.1225768598242132
2024-01-10,0.0,Neutor,13433.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,1.202189143826638
